match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision
1085969,2017-07-15,Australia,South Africa,County Ground,Taunton,Australia,Australia,bat
1085962,2017-07-08,India,South Africa,Grace Road,Leicester,South Africa,India,field
1085972,2017-07-15,Pakistan,Sri Lanka,Grace Road,Leicester,Sri Lanka,Sri Lanka,bat
1243925,2022-03-19,India,Australia,"Eden Park, Auckland",Auckland,Australia,Australia,field
1085963,2017-07-09,England,Australia,County Ground,Bristol,England,England,bat
1085954,2017-07-02,Australia,New Zealand,County Ground,Bristol,Australia,New Zealand,bat
1085975,2017-07-23,England,India,Lord's,London,England,England,bat
1243935,2022-03-27,India,South Africa,"Hagley Oval, Christchurch",Christchurch,South Africa,India,bat
1490429,2025-10-16,Bangladesh,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Australia,Bangladesh,bat
594909,2013-02-11,New Zealand,West Indies,Brabourne Stadium,Mumbai,West Indies,New Zealand,field
1243912,2022-03-07,Bangladesh,New Zealand,"University Oval, Dunedin",Dunedin,New Zealand,New Zealand,field
1085948,2017-06-26,Australia,West Indies,County Ground,Taunton,Australia,West Indies,bat
1085966,2017-07-12,South Africa,Sri Lanka,County Ground,Taunton,South Africa,Sri Lanka,bat
1085964,2017-07-09,Sri Lanka,West Indies,County Ground,Derby,West Indies,Sri Lanka,field
1243909,2022-03-05,South Africa,Bangladesh,"University Oval, Dunedin",Dunedin,South Africa,Bangladesh,field
1243934,2022-03-27,England,Bangladesh,"Basin Reserve, Wellington",Wellington,England,England,bat
1243914,2022-03-09,West Indies,England,"University Oval, Dunedin",Dunedin,West Indies,West Indies,bat
1243932,2022-03-25,Bangladesh,Australia,"Basin Reserve, Wellington",Wellington,Australia,Australia,field
1490433,2025-10-20,Sri Lanka,Bangladesh,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,Sri Lanka,Sri Lanka,bat
1243918,2022-03-13,Australia,New Zealand,"Basin Reserve, Wellington",Wellington,Australia,New Zealand,field
1490421,2025-10-08,Australia,Pakistan,"R Premadasa Stadium, Colombo",Colombo,Australia,Pakistan,field
1490416,2025-10-03,South Africa,England,"Barsapara Cricket Stadium, Guwahati",Guwahati,England,England,field
594915,2013-02-17,Australia,West Indies,Brabourne Stadium,Mumbai,Australia,Australia,bat
1490425,2025-10-12,India,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Australia,Australia,field
